"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/28/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/29/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/30/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/31/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/01/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/02/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/03/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/04/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/05/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/06/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/07/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/08/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/09/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/10/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/11/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/12/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/13/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/14/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/15/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/16/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/17/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/18/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/19/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/20/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/21/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/22/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/23/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/24/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/25/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/26/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/27/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/28/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/29/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/30/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/01/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/02/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/03/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/04/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/05/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/06/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/07/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/08/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/09/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/10/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/11/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
