Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant concentration (PPM),State Name Code,County Full Name,Population,Pollutant,Max AQI
2023,California,Contra Costa,013,06,1.0,06013,0.34494902687673773,CA,Contra Costa County,1155025,CO,87.0
2023,California,Fresno,019,06,1.0,06019,0.44999999999999996,CA,Fresno County,1017162,CO,151.0
2023,California,Humboldt,023,06,5.0,06023,0.3147368421052632,CA,Humboldt County,133985,CO,274.0
2023,California,Imperial,025,06,3.0,06025,0.4211267605633803,CA,Imperial County,179057,CO,505.0
2023,California,Kern,029,06,2.0,06029,0.3286908077994429,CA,Kern County,913820,CO,111.0
2023,California,Los Angeles,037,06,1.0,06037,0.4417693522906793,CA,Los Angeles County,9663345,CO,192.0
2023,New York,Erie,029,36,1.0,36029,0.3146978021978022,NY,Erie County,946147,CO,169.0
2023,New York,Monroe,055,36,1.0,36055,0.31321044546851,NY,Monroe County,748482,CO,170.0
2023,Pennsylvania,Adams,001,42,3.0,42001,0.2011204481792717,PA,Adams County,106748,CO,216.0
2023,Pennsylvania,Allegheny,003,42,1.0,42003,0.6318721461187214,PA,Allegheny County,1224825,CO,212.0
2023,Pennsylvania,Cambria,021,42,3.0,42021,0.3415977961432507,PA,Cambria County,130668,CO,187.0
2023,Pennsylvania,Lackawanna,069,42,2.0,42069,0.3378082191780822,PA,Lackawanna County,216123,CO,268.0
2023,Pennsylvania,Philadelphia,101,42,1.0,42101,0.5020128087831657,PA,Philadelphia County,1550542,CO,290.0
2023,Texas,Bexar,029,48,1.0,48029,0.35369863013698627,TX,Bexar County,2087679,CO,279.0
2023,Texas,Dallas,113,48,1.0,48113,0.30246575342465754,TX,Dallas County,2606358,CO,172.0
2023,Texas,El Paso,141,48,2.0,48141,0.39864048338368574,TX,El Paso County,869880,CO,154.0
2023,Texas,Harris,201,48,1.0,48201,0.44623352165725044,TX,Harris County,4835125,CO,205.0
2023,Texas,Tarrant,439,48,1.0,48439,0.47371428571428575,TX,Tarrant County,2182947,CO,143.0
2023,Texas,Travis,453,48,1.0,48453,0.5994134897360704,TX,Travis County,1334961,CO,122.0
2018,California,Alameda,001,06,1.0,06001,22.769899183869416,CA,Alameda County,1666596,NO2,150.0
2018,California,Butte,007,06,3.0,06007,15.176731301939059,CA,Butte County,230330,NO2,150.0
2018,California,Contra Costa,013,06,1.0,06013,13.163425253991292,CA,Contra Costa County,1150840,NO2,150.0
2018,California,Fresno,019,06,1.0,06019,21.866462264150943,CA,Fresno County,991298,NO2,150.0
