State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Code,County Code,FIPS,State Name,County Name,RUCC,State Name Code,County Full Name,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
California,Butte,2021,365,198,136,18,11,2,0,233,90,48,0,0,222,140,3,06,007,06007,California,Butte,3.0,CA,Butte County,230330,218726,210151,206336,207369,207172
California,Contra Costa,2021,365,255,105,5,0,0,0,150,67,42,0,0,217,148,0,06,013,06013,California,Contra Costa,1.0,CA,Contra Costa County,1150840,1152883,1166069,1163941,1157019,1155025
California,Fresno,2021,365,102,181,63,18,1,0,278,130,67,0,1,186,161,17,06,019,06019,California,Fresno,1.0,CA,Fresno County,991298,997847,1009552,1013103,1015359,1017162
California,Humboldt,2021,365,353,12,0,0,0,0,60,40,28,12,0,234,60,59,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136502,135839,136262,134897,134944,133985
California,Imperial,2021,365,113,223,22,4,1,2,442,97,58,0,1,161,65,138,06,025,06025,California,Imperial,3.0,CA,Imperial County,181062,180439,179612,179138,178940,179057
California,Kern,2021,365,65,172,97,29,1,1,316,147,84,0,0,185,159,21,06,029,06029,California,Kern,2.0,CA,Kern County,893618,898898,905910,912709,916751,913820
California,Los Angeles,2021,365,39,229,70,26,1,0,281,143,77,0,24,166,168,7,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533,10011602,9992813,9809462,9719765,9663345
California,Madera,2021,365,157,173,28,7,0,0,194,100,56,0,0,237,103,25,06,039,06039,California,Madera,1.0,CA,Madera County,156373,156717,156345,158966,160329,162858
New York,Erie,2021,365,288,76,1,0,0,0,101,61,39,0,20,176,169,0,36,029,36029,New York,Erie,1.0,NY,Erie County,919941,918813,952342,952912,948423,946147
New York,Monroe,2021,365,300,65,0,0,0,0,100,56,38,0,0,207,158,0,36,055,36055,New York,Monroe,1.0,NY,Monroe County,744239,742605,757551,755813,750887,748482
Pennsylvania,Adams,2021,364,263,98,3,0,0,0,129,65,42,0,0,225,139,0,42,001,42001,Pennsylvania,Adams,3.0,PA,Adams County,103035,102776,103798,105686,105959,106748
Pennsylvania,Allegheny,2021,365,180,178,6,1,0,0,153,84,51,0,0,126,238,1,42,003,42003,Pennsylvania,Allegheny,1.0,PA,Allegheny County,1217508,1215716,1249565,1245220,1232605,1224825
Pennsylvania,Cambria,2021,353,244,108,1,0,0,0,130,61,42,3,1,134,215,0,42,021,42021,Pennsylvania,Cambria,3.0,PA,Cambria County,131478,130107,133211,132237,131429,130668
Pennsylvania,Lackawanna,2021,353,299,53,1,0,0,0,137,56,36,2,38,188,125,0,42,069,42069,Pennsylvania,Lackawanna,2.0,PA,Lackawanna County,210301,209808,215539,216043,215750,216123
Pennsylvania,Philadelphia,2021,365,213,141,9,2,0,0,152,76,47,0,21,145,199,0,42,101,42101,Pennsylvania,Philadelphia,1.0,PA,Philadelphia County,1586422,1584439,1600684,1589623,1566836,1550542
Pennsylvania,York,2021,357,244,111,2,0,0,0,148,67,43,0,7,165,185,0,42,133,42133,Pennsylvania,York,2.0,PA,York County,448417,449341,456720,459183,461049,464640
